Time	Lead II
9.12	-0.0177342
9.13	-0.0249606
9.14	-0.0451349
9.15	-0.00895298
9.16	-0.029578
9.17	0.0120167
9.18	0.0221547
9.19	0.0160046
9.2	0.0772655
9.21	0.0682083
9.22	0.0809976
9.23	0.053892
9.24	0.00837933
9.25	0.014582
9.26	-0.0367904
9.27	-0.030072
9.28	-0.0421182
9.29	-0.0598679
9.3	-0.0255133
9.31	-0.0661095
9.32	-0.0577705
9.33	-0.0415782
9.34	0.0498351
9.35	0.291165
9.36	0.396112
9.37	0.300115
9.38	0.050388
9.39	-0.115674
9.4	-0.0960554
9.41	-0.0898738
9.42	-0.0365601
9.43	-0.0331543
9.44	-0.0491113
9.45	-0.0219631
9.46	-0.0527891
9.47	-0.0204508
9.48	-0.0256047
9.49	-0.0460764
9.5	-0.0183787
9.51	-0.0473181
9.52	-0.0169125
9.53	-0.0173484
9.54	-0.0215063
9.55	0.0226644
9.56	0.0105082
9.57	0.0538172
9.58	0.0567506
9.59	0.0643434
9.6	0.11743
9.61	0.0933769
9.62	0.110329
9.63	0.0986305
9.64	0.0778952
9.65	0.0738094
9.66	0.00403137
9.67	0.0083984
9.68	-0.0207984
9.69	-0.045139
9.7	-0.0328021
9.71	-0.0680332
9.72	-0.033385
9.73	-0.0440473
9.74	-0.0579101
9.75	-0.0354851
9.76	-0.075809
9.77	-0.0961407
9.78	-0.0726458
9.79	-0.0616782
9.8	-0.0170131
9.81	-0.0418113
9.82	-0.0125496
9.83	-0.0082938
9.84	-0.0369635
9.85	-0.0150656
9.86	-0.0514666
9.87	-0.0283005
9.88	-0.0267788
9.89	-0.0474189
9.9	-0.0208456
9.91	-0.0572441
9.92	-0.0317762
9.93	-0.0324483
9.94	-0.0531296
9.95	-0.0258323
9.96	-0.0618911
9.97	-0.043574
9.98	-0.0423168
9.99	-0.055562
10	0.00161972
10.01	-0.00515844
10.02	0.0333576
10.03	0.0447681
10.04	0.0267608
10.05	0.0576742
10.06	0.00916762
10.07	0.00678415
10.08	-0.0231034
10.09	-0.0614984
10.1	-0.0436437
10.11	-0.0881398
10.12	-0.0702615
10.13	-0.0795742
10.14	-0.104015
10.15	-0.0762386
10.16	-0.0877881
10.17	0.0415124
10.18	0.247465
10.19	0.369952
10.2	0.270336
10.21	-0.0153653
10.22	-0.135574
10.23	-0.145061
10.24	-0.113998
10.25	-0.0520384
10.26	-0.0778655
10.27	-0.054484
10.28	-0.0498381
10.29	-0.0570167
10.3	-0.0218917
10.31	-0.0526516
10.32	-0.0331531
10.33	-0.0419953
10.34	-0.0451799
10.35	-0.0115262
10.36	-0.0402069
10.37	0.00433466
10.38	0.0123357
10.39	0.0175136
10.4	0.0679618
10.41	0.0491022
10.42	0.0935641
10.43	0.103856
10.44	0.109669
10.45	0.141998
10.46	0.0978959
10.47	0.108822
10.48	0.0825363
10.49	0.04487
10.5	0.035745
10.51	-0.0197716
10.52	-0.00094327
10.53	-0.0175218
10.54	-0.0342014
10.55	-0.0101752
10.56	-0.045308
10.57	-0.0233832
10.58	-0.0343442
10.59	-0.0354684
10.6	0.000491446
10.61	-0.0263859
10.62	-0.0543697
10.63	-0.0473498
10.64	-0.0347198
10.65	0.00986536
10.66	-0.0291528
10.67	-0.0157561
10.68	-0.0136655
10.69	-0.0326918
10.7	-0.00425536
10.71	-0.0377302
10.72	-0.0178957
10.73	-0.0213406
10.74	-0.0419486
10.75	-0.0183835
10.76	-0.0574417
10.77	-0.0318042
10.78	-0.0387731
10.79	-0.066032
10.8	-0.0220851
10.81	-0.0342552
10.82	0.00951084
10.83	0.0179135
10.84	0.00544113
